data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_code_range_high
2023,183397379,165629217,1,4,,,,102,99,U,98,40,U,,
2023,187143914,168896599,2,8,,,,104,NS,X,99,50,,,
2023,184148726,166286996,1,4,,,,81,78,M,40,20,R,78,
2023,184148727,166286997,1,4,,,,36,33,M,10,20,R,33,
2023,184148728,166286998,1,8,,,,104,NS,X,99,50,,,
2023,186412286,168264697,1,4,,,,66,63,M,10,20,R,63,
2023,183397444,165629272,1,4,,,,44,41,F,10,10,R,41,
2023,183397452,165629280,1,4,,,,27,24,M,10,10,,24,
2023,183397460,165629288,1,4,,,,29,26,M,10,20,R,26,
2023,183397480,165629307,2,4,,,,41,38,M,20,20,R,38,
2023,183397481,165629307,3,4,,,,23,20,M,20,20,R,20,
2023,183397509,165629333,1,4,,,,24,21,M,20,20,R,21,
2023,194091322,174962645,2,4,,,,46,43,F,10,20,R,43,
2023,194091323,174962645,4,4,,,,16,13,F,10,20,R,13,
2023,184148729,166286999,1,4,,,,37,34,F,10,10,R,34,
2023,185394668,167374151,1,4,,,,33,30,F,20,40,,30,
2023,190713778,172017250,1,4,,,,22,19,F,20,40,N,19,
2023,183397597,165629409,1,4,,,,60,57,M,20,20,R,57,
2023,185829569,167756478,1,8,,,,104,NS,X,99,50,,,
2023,185829570,167756478,2,4,,,,37,34,M,20,20,U,29,39
2023,185829571,167756478,3,1,,,,104,NS,X,99,50,,,
2023,194091325,174962647,1,4,,,,60,57,F,10,10,R,57,
2023,194091326,174962647,2,8,,,,104,NS,X,99,50,,,
2023,183397631,165629435,1,8,,,,104,NS,X,99,50,,,
2023,183397640,165629444,1,8,,,,104,NS,X,99,50,,,
2023,183397646,165629449,1,4,,,,79,76,M,10,20,R,76,
2023,183397657,165629460,1,8,,,,104,NS,X,99,50,,,
2023,183397671,165629470,1,8,,,,104,NS,X,99,50,,,
2023,183397681,165629479,1,1,,,,104,NS,X,99,50,,,
2023,183397695,165629493,1,4,,,,50,47,F,10,10,R,47,
2023,183397707,165629504,1,4,,,,53,50,F,20,20,R,50,
2023,183397714,165629511,1,4,,,,45,42,M,10,10,,42,
2023,206616199,185920204,1,4,,,,32,29,F,40,20,U,24,34
2023,183397726,165629522,1,4,,,,52,49,M,20,20,U,49,
2023,183397735,165629530,1,4,,,,65,62,F,10,20,R,62,
2023,183397745,165629540,1,4,,,,47,44,M,10,10,N,44,
2023,183397757,165629549,1,8,,,,104,NS,X,99,50,,,
2023,183397766,165629558,1,4,,,,40,37,M,20,20,R,37,
2023,188988573,170506882,1,4,,,,40,37,M,10,20,R,37,
2023,183397797,165629588,1,8,,,,104,NS,X,99,50,,,
2023,185394673,167374154,1,4,,,,58,55,F,10,20,R,55,
2023,183397815,165629604,1,4,,,,46,43,F,20,20,N,43,
2023,183397827,165629616,1,4,,,,52,49,M,10,10,R,49,
2023,183397839,165629626,1,4,,,,40,37,F,20,20,U,37,
2023,183397840,165629626,2,1,,,,104,NS,X,99,50,,,
2023,183397851,165629636,1,4,,,,82,79,F,10,20,R,79,
2023,183397874,165629656,1,4,,,,54,51,M,20,20,R,51,
2023,183397887,165629667,1,1,,,,104,NS,X,99,50,,,
2023,183397897,165629676,1,4,,,,52,49,F,40,20,,49,
2023,185394674,167374155,1,4,,,,38,35,F,10,20,R,35,
2023,192153841,173266174,1,4,,,,25,22,M,20,20,N,22,
2023,183397905,165629684,1,4,,,,46,43,M,10,10,R,43,
2023,183397916,165629694,1,4,,,,96,93,M,10,20,R,93,
2023,184148735,166287002,1,4,,,,32,29,M,98,20,R,29,
2023,183397938,165629713,1,4,,,,28,25,M,20,20,R,25,
2023,183397943,165629718,1,4,,,,30,27,M,10,20,N,27,
2023,183397960,165629735,1,8,,,,104,NS,X,99,50,,,
2023,183397969,165629744,1,4,,,,35,32,M,20,20,R,32,
2023,183397979,165629753,1,4,,,,84,81,F,10,20,R,81,
2023,183397980,165629753,2,4,,,,86,83,M,10,20,R,83,
2023,183397985,165629757,1,4,,,,66,63,M,40,40,R,63,
2023,183397994,165629766,1,4,,,,69,66,F,10,20,R,66,
2023,184148736,166287003,1,4,,,,25,22,M,40,20,N,17,27
2023,184148737,166287003,2,8,,,,104,NS,X,99,50,,,
2023,183398002,165629774,1,4,,,,42,39,M,20,20,U,39,
2023,184148738,166287004,1,4,,,,17,14,M,98,20,,14,
2023,183398021,165629790,1,4,,,,32,29,F,20,20,R,29,
2023,184148739,166287005,1,4,,,,37,34,F,40,20,R,29,39
2023,183398040,165629807,1,4,,,,78,75,M,10,20,R,75,
2023,183398045,165629812,1,4,,,,39,36,F,10,20,R,36,
2023,183398051,165629818,1,4,,,,29,26,M,10,20,R,26,
2023,185394675,167374156,1,4,,,,54,51,M,40,20,N,51,
2023,188988574,170506883,1,4,,,,55,52,M,20,20,U,52,
2023,183398073,165629837,1,1,,,,104,NS,X,99,50,,,
2023,183398080,165629844,1,4,,,,30,27,M,10,20,N,27,
2023,183398093,165629857,1,4,,,,69,66,M,10,10,U,66,
2023,185394676,167374157,1,4,,,,51,48,F,20,20,R,48,
